Book_ID,Title,Author,Publication_Year,Genre
1,"The Lord of the Rings","J.R.R. Tolkien",1954-12-29,Fantasy
2,"To Kill a Mockingbird","Harper Lee",1960-07-11,Fiction
3,"Pride and Prejudice","Jane Austen",1813-01-28,Romance
4,"The Hobbit","J.R.R. Tolkien",1937-09-21,Fantasy
5,1984,"George Orwell",1949-06-08,Dystopian
6,"Pride and Prejudice and Zombies","Seth Grahame-Smith",2009-09-15,"Horror Comedy"
7,"The Hitchhiker's Guide to the Galaxy","Douglas Adams",1979-10-12,"Science Fiction"
8,"The Silent Patient","Alex Michaelides",2019-02-05,"Psychological Thriller"
9,"The Girl on the Train","Paula Hawkins",2015-01-20,"Psychological Thriller"
10,"The Da Vinci Code","Dan Brown",2003-03-28,"Historical Fiction"
